code,base_cost,mdh,daily_extra_charge
Ε01Α,28907.0,26,277.95
Ε03Α,15000.0,35,107.14
Ε04Α,30015.0,20,375.19
Ε05Α,34279.0,40,214.24
Ε06Μ,39863.0,47,212.04
Ε06Χα,20597.0,25,205.97
Ε06Χβ,15548.0,16,242.94
Ε06Χγ,8261.0,15,137.68
Ε07Α,26508.0,34,194.91
Ε08Μ,10017.0,24,104.34
Ε08Χ,3683.0,10,92.08
Ε09Α,15346.0,16,239.78
Ε09Β,9669.0,8,302.16
Ε09Γ,10706.0,15,178.43
Ε10Α,94009.0,54,435.23
Ε11Μ,10704.0,15,178.4
Ε11Χ,5302.0,6,220.92
Ε12Α,6414.0,3,534.5
Ε13Α,37063.0,31,298.9
Ν01Μ,2528.0,7,90.29
Ν01Χ,1980.0,5,99.0
Ν02Μα,7730.0,18,107.36
Ν02Μβ,4721.0,11,107.3
Ν02Χ,3836.0,7,137.0
Ν03Μ,5914.0,15,98.57
Ν03Χ,3990.0,5,199.5
Ν04Μ,4267.0,12,88.9
Ν04Χ,2470.0,4,154.38
Ν05Α,439.0,1,109.75
Ν06Μ,3297.0,13,63.4
Ν06Χ,969.0,2,121.12
Ν07Μ,2513.0,9,69.81
Ν07Χ,1110.0,2,138.75
Ν10Α,163.0,1,40.75
Ν11Α,1331.0,5,66.55
Ν12Μ,5390.0,13,103.65
Ν12Χ,3720.0,7,132.86
Ν20Μ,6919.0,25,69.19
Ν20Χ,2576.0,10,64.4
Ν21Μ,4960.0,16,77.5
Ν21Χ,1885.0,5,94.25
Ν22Α,243.0,1,60.75
Ν23Α,2109.0,13,40.56
Ν24Μ,2389.0,13,45.94
Ν24Χ,1159.0,6,48.29
Ν25Α,482.0,2,60.25
Ν26Μ,2062.0,9,57.28
Ν26Χ,872.0,4,54.5
Ν27Μα,2529.0,13,48.63
Ν27Μβ,1307.0,8,40.84
Ν27Χ,482.0,3,40.17
Ν28Μ,1907.0,9,52.97
Ν68Χ,565.0,2,70.62
Ν29Μ,1230.0,6,51.25
Ν29Χ,545.0,3,45.42
Ν30Α,420.0,2,52.5
Ν30Μα,3408.0,17,50.12
Ν30Μβ,1860.0,9,51.67
Ν30Χ,1191.0,6,49.62
Ν31Μ,1510.0,7,53.93
Ν31Χ,280.0,2,35.0
Ν32Μ,3175.0,14,56.7
Ν32Χ,1183.0,5,59.15
Ν33Α,739.0,3,61.58
Ν34Χ,1012.0,5,50.6
Ν35Α,350.0,1,87.5
Ν36Μ,1486.0,6,61.92
Ν36Χ,482.0,2,60.25
Ν37Α,335.0,2,41.88
Ν38Μ,2327.0,10,58.17
Ν38Χ,879.0,4,54.94
Ν39Μ,1323.0,5,66.15
Ν39Χ,537.0,7,19.18
Ν40Α,272.0,1,68.0
Ν41Μ,1837.0,10,45.92
Ν41Χ,693.0,3,57.75
