+---------------+-------------------+-----------+----------+---------------------+------------------------+---------------------+---------------------+---------------+
| department_id | department_name   | hosp_year | ken_code | insurance_provider  | hospitalizations_count | total_basic_revenue | total_extra_revenue | total_revenue |
+---------------+-------------------+-----------+----------+---------------------+------------------------+---------------------+---------------------+---------------+
|             1 | Cardiology        |      2021 | Ω15Α     | EFKA                |                      1 |         2145.000000 |         1608.720000 |   3753.720000 |
|             1 | Cardiology        |      2021 | Ω20Α     | EFKA                |                      1 |          557.000000 |          974.750000 |   1531.750000 |
|             1 | Cardiology        |      2021 | Ω30Μ     | EFKA                |                      1 |         2288.000000 |            0.000000 |   2288.000000 |
|             1 | Cardiology        |      2021 | Ω30Χ     | Private Insurance A |                      1 |          545.000000 |          408.720000 |    953.720000 |
|             1 | Cardiology        |      2021 | Ω31Α     | Private Insurance A |                      1 |          444.000000 |          333.000000 |    777.000000 |
|             1 | Cardiology        |      2021 | Ω32Α     | Private Insurance A |                      1 |          358.000000 |          268.500000 |    626.500000 |
|             1 | Cardiology        |      2021 | Ω33Α     | Private Insurance A |                      1 |          397.000000 |          297.720000 |    694.720000 |
|             1 | Cardiology        |      2021 | Ω34Α     | Private Insurance A |                      1 |          288.000000 |          504.000000 |    792.000000 |
|             1 | Cardiology        |      2021 | Ω35Α     | Private Insurance A |                      1 |          265.000000 |          463.750000 |    728.750000 |
|             2 | General Surgery   |      2021 | Ω06Α     | Private Insurance B |                      1 |         1125.000000 |         1968.750000 |   3093.750000 |
|             2 | General Surgery   |      2021 | Ω10Α     | Private Insurance B |                      1 |          787.000000 |         1377.250000 |   2164.250000 |
|             2 | General Surgery   |      2021 | Ω11Α     | Private Insurance A |                      1 |          526.000000 |          920.500000 |   1446.500000 |
|             2 | General Surgery   |      2021 | Ω12Α     | Private Insurance A |                      1 |          946.000000 |         1655.500000 |   2601.500000 |
|             2 | General Surgery   |      2021 | Ω13Α     | Uninsured           |                      1 |          347.000000 |          607.250000 |    954.250000 |
|             2 | General Surgery   |      2021 | Ω14Α     | Uninsured           |                      1 |          740.000000 |          555.000000 |   1295.000000 |
|             1 | Cardiology        |      2023 | G01Μα    | EFKA                |                      1 |         5709.000000 |            0.000000 |   5709.000000 |
|             1 | Cardiology        |      2023 | G01Μβ    | Private Insurance A |                      1 |         3573.000000 |           99.250000 |   3672.250000 |
|             1 | Cardiology        |      2023 | G01Χ     | Private Insurance B |                      1 |         2182.000000 |         2545.620000 |   4727.620000 |
|             1 | Cardiology        |      2023 | S01Α     | OAEE                |                      1 |          540.000000 |          405.000000 |    945.000000 |
|             1 | Cardiology        |      2023 | S01Μ     | Uninsured           |                      1 |         2413.000000 |          502.700000 |   2915.700000 |
|             1 | Cardiology        |      2023 | S01Χ     | EFKA                |                      1 |         1334.000000 |         5669.500000 |   7003.500000 |
|             1 | Cardiology        |      2023 | S20Α     | Private Insurance A |                      1 |          934.000000 |          934.000000 |   1868.000000 |
|             1 | Cardiology        |      2023 | Α29Μ     | Uninsured           |                      1 |          872.000000 |          109.000000 |    981.000000 |
|             1 | Cardiology        |      2023 | Α29Χ     | EFKA                |                      1 |          397.000000 |          545.820000 |    942.820000 |
|             1 | Cardiology        |      2023 | Α30Μ     | Private Insurance A |                      1 |         1331.000000 |          998.250000 |   2329.250000 |
|             1 | Cardiology        |      2023 | Α30Χ     | Private Insurance B |                      1 |          607.000000 |          379.400000 |    986.400000 |
|             1 | Cardiology        |      2023 | Α31Μ     | OAEE                |                      1 |         1798.000000 |          249.700000 |   2047.700000 |
|             1 | Cardiology        |      2023 | Α31Χ     | Uninsured           |                      1 |          910.000000 |          728.000000 |   1638.000000 |
|             1 | Cardiology        |      2023 | Α32Α     | EFKA                |                      1 |          846.000000 |          211.520000 |   1057.520000 |
|             1 | Cardiology        |      2023 | Γ21Α     | OAEE                |                      1 |          475.000000 |          415.660000 |    890.660000 |
|             1 | Cardiology        |      2023 | Γ22Α     | Uninsured           |                      1 |          257.000000 |          963.750000 |   1220.750000 |
|             1 | Cardiology        |      2023 | Δ01Μ     | EFKA                |                      1 |         8557.000000 |            0.000000 |   8557.000000 |
|             1 | Cardiology        |      2023 | Δ01Χ     | Private Insurance A |                      1 |         6452.000000 |          179.220000 |   6631.220000 |
|             1 | Cardiology        |      2023 | Δ06Α     | Private Insurance B |                      1 |         1383.000000 |         1613.500000 |   2996.500000 |
