+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------------+
| substance_id | substance_name                                                                                                                                                                                                                              | allergic_patients_count | medications_count |
+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------------+
|        12205 | 1-Propanol                                                                                                                                                                                                                                  |                       1 |                38 |
|        12375 | 13c-Urea                                                                                                                                                                                                                                    |                       1 |                13 |
|         3236 | [166ho]holmium Chloride Precursor                                                                                                                                                                                                           |                       1 |                 2 |
|         5281 | 12 Grass Pollen Mixture                                                                                                                                                                                                                     |                       1 |                 2 |
|         1656 | 13 Grass Pollen Mixture                                                                                                                                                                                                                     |                       1 |                 2 |
|         2286 | 131i-Meta-Iodobenzyl-Guanidine Sulfate                                                                                                                                                                                                      |                       1 |                 2 |
|        11825 | 2-Naphthol                                                                                                                                                                                                                                  |                       1 |                 2 |
|         6441 | (R)-Alpha-Glycerophosphorylethanolamine Monohydrate                                                                                                                                                                                         |                       1 |                 1 |
|          441 | 1-Dioxide Sodium Salt                                                                                                                                                                                                                       |                       1 |                 1 |
|         9143 | 1-Naphthaleneacetic Acid                                                                                                                                                                                                                    |                       1 |                 1 |
|        11621 | 1'-Iminobis(2-Propanol)                                                                                                                                                                                                                     |                       1 |                 1 |
|        11085 | 2-(2-Aminoethoxy)ethanol                                                                                                                                                                                                                    |                       1 |                 1 |
|        11091 | 2-Benzisothiazolin-3-One 1                                                                                                                                                                                                                  |                       1 |                 1 |
|         2985 | 2-Distearyl Citrate                                                                                                                                                                                                                         |                       1 |                 1 |
|        11515 | 2-Hydroxyethyl Methacrylate                                                                                                                                                                                                                 |                       1 |                 1 |
|         5736 | (Hexadecyl Octadecyl)-2-Ethyl Hexanoate-Isopropyl-Myristate                                                                                                                                                                                 |                       1 |                 0 |
|         3675 | (Live Attenuated) Derived From From The Jeryl Lynn Produced In Chick Embryo Cells                                                                                                                                                           |                       1 |                 0 |
|        11436 | (Live Attenuated) Produced In Human Diploid (Mrc-5) Cells                                                                                                                                                                                   |                       1 |                 0 |
|         7987 | (Live Attenuated) Produced In Wi-38 Human Diploid Lung Fibroblasts                                                                                                                                                                          |                       1 |                 0 |
|         4631 | 100 Ml Consists Of: Distillate From A Macerate Of Melissa Officinalis Leaf                                                                                                                                                                  |                       1 |                 0 |
|        13467 | Paracetamol                                                                                                                                                                                                                                 |                       0 |              2245 |
|         5706 | Hydrochlorothiazide                                                                                                                                                                                                                         |                       0 |              1832 |
|         7012 | Ibuprofen                                                                                                                                                                                                                                   |                       0 |              1403 |
|        11552 | Sodium Chloride                                                                                                                                                                                                                             |                       0 |              1361 |
|        11959 | Ethinylestradiol                                                                                                                                                                                                                            |                       0 |               980 |
|        13414 | Potassium Chloride                                                                                                                                                                                                                          |                       0 |               969 |
|         9110 | Amlodipine                                                                                                                                                                                                                                  |                       0 |               869 |
|         8255 | Metformin Hydrochloride                                                                                                                                                                                                                     |                       0 |               863 |
|        13520 | Glucose Monohydrate                                                                                                                                                                                                                         |                       0 |               686 |
|        11866 | Calcium Chloride Dihydrate                                                                                                                                                                                                                  |                       0 |               678 |
|         5725 | Colecalciferol                                                                                                                                                                                                                              |                       0 |               670 |
|        12509 | Ezetimibe                                                                                                                                                                                                                                   |                       0 |               659 |
|        11633 | Acetylsalicylic Acid                                                                                                                                                                                                                        |                       0 |               603 |
|         3101 | Sodium Hydrogen Carbonate                                                                                                                                                                                                                   |                       0 |               601 |
|         7194 | Valsartan                                                                                                                                                                                                                                   |                       0 |               587 |
|          663 | Amoxicillin                                                                                                                                                                                                                                 |                       0 |               570 |
|        10442 | Tamsulosin Hydrochloride                                                                                                                                                                                                                    |                       0 |               570 |
|         7801 | Sitagliptin                                                                                                                                                                                                                                 |                       0 |               530 |
|         6963 | Ascorbic Acid                                                                                                                                                                                                                               |                       0 |               504 |
|          620 | Fluticasone Propionate                                                                                                                                                                                                                      |                       0 |               495 |
|         1689 | Olmesartan Medoxomil                                                                                                                                                                                                                        |                       0 |               492 |
|         7369 | Atorvastatin                                                                                                                                                                                                                                |                       0 |               486 |
|        10470 | Phenylephrine Hydrochloride                                                                                                                                                                                                                 |                       0 |               476 |
|         8935 | Caffeine                                                                                                                                                                                                                                    |                       0 |               461 |
|        10444 | Diclofenac Sodium                                                                                                                                                                                                                           |                       0 |               450 |
|         5135 | Calcium Carbonate                                                                                                                                                                                                                           |                       0 |               433 |
|        11734 | Lidocaine Hydrochloride                                                                                                                                                                                                                     |                       0 |               433 |
|         6579 | Ramipril                                                                                                                                                                                                                                    |                       0 |               424 |
|         4030 | Rosuvastatin                                                                                                                                                                                                                                |                       0 |               421 |
|         8685 | Tramadol Hydrochloride                                                                                                                                                                                                                      |                       0 |               414 |
|         3764 | Omeprazole                                                                                                                                                                                                                                  |                       0 |               412 |
|        10221 | Candesartan Cilexetil                                                                                                                                                                                                                       |                       0 |               407 |
|        11742 | Magnesium Chloride Hexahydrate                                                                                                                                                                                                              |                       0 |               405 |
|        11045 | Losartan Potassium                                                                                                                                                                                                                          |                       0 |               400 |
|         9431 | Glycine                                                                                                                                                                                                                                     |                       0 |               394 |
|        13157 | Indapamide                                                                                                                                                                                                                                  |                       0 |               390 |
|         4583 | Simvastatin                                                                                                                                                                                                                                 |                       0 |               387 |
|         8128 | Clavulanic Acid                                                                                                                                                                                                                             |                       0 |               382 |
|         4534 | Xylometazoline Hydrochloride                                                                                                                                                                                                                |                       0 |               382 |
|         7425 | Amlodipine Besilate                                                                                                                                                                                                                         |                       0 |               351 |
|         6102 | Tryptophan                                                                                                                                                                                                                                  |                       0 |               346 |
|        11862 | Rivaroxaban                                                                                                                                                                                                                                 |                       0 |               345 |
|         2290 | Isoleucine                                                                                                                                                                                                                                  |                       0 |               342 |
|         9710 | Leucine                                                                                                                                                                                                                                     |                       0 |               342 |
|        13154 | Valine                                                                                                                                                                                                                                      |                       0 |               342 |
|         5333 | Methionine                                                                                                                                                                                                                                  |                       0 |               341 |
|        12562 | Oxygen                                                                                                                                                                                                                                      |                       0 |               341 |
|         9539 | Phenylalanine                                                                                                                                                                                                                               |                       0 |               339 |
|         2474 | Threonine                                                                                                                                                                                                                                   |                       0 |               338 |
|        13127 | Alanine                                                                                                                                                                                                                                     |                       0 |               336 |
