+----------------------+---------------------+---------------------+------------+----------------+--------------------+----------------------+
| department           | shift_start         | shift_end           | shift_type | staff_category | subcategory        | assigned_staff_count |
+----------------------+---------------------+---------------------+------------+----------------+--------------------+----------------------+
| Cardiology           | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Administration | Secretary          |                    2 |
| Cardiology           | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Nurse          | Head Nurse         |                    4 |
| Cardiology           | 2025-01-06 15:00:00 | 2025-01-06 23:00:00 | Afternoon  | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Administration | Secretary          |                    2 |
| Cardiology           | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Head Nurse         |                    4 |
| Cardiology           | 2025-01-08 15:00:00 | 2025-01-08 23:00:00 | Afternoon  | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Administration | Secretary          |                    2 |
| Cardiology           | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Nurse          | Head Nurse         |                    4 |
| Cardiology           | 2025-01-10 15:00:00 | 2025-01-10 23:00:00 | Afternoon  | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Administration | Secretary          |                    2 |
| Cardiology           | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Doctor         | Cardiology         |                    3 |
| Cardiology           | 2025-01-12 07:00:00 | 2025-01-12 15:00:00 | Morning    | Nurse          | Head Nurse         |                    4 |
| Cardiology           | 2025-01-12 15:00:00 | 2025-01-12 23:00:00 | Afternoon  | Doctor         | Cardiology         |                    3 |
| Dermatology          | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Dermatology          | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Doctor         | Dermatology        |                    3 |
| Dermatology          | 2025-01-06 07:00:00 | 2025-01-06 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Dermatology          | 2025-01-06 15:00:00 | 2025-01-06 23:00:00 | Afternoon  | Doctor         | Dermatology        |                    2 |
| Dermatology          | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
| Dermatology          | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Doctor         | Dermatology        |                    3 |
| Dermatology          | 2025-01-08 07:00:00 | 2025-01-08 15:00:00 | Morning    | Nurse          | Nurse              |                    4 |
| Dermatology          | 2025-01-08 15:00:00 | 2025-01-08 23:00:00 | Afternoon  | Doctor         | Dermatology        |                    2 |
| Dermatology          | 2025-01-10 07:00:00 | 2025-01-10 15:00:00 | Morning    | Administration | Billing Clerk      |                    2 |
