+-----------+-------------+------------------+--------------------+---------------------+-------------------+------------+----------+
| urg_level | total_count | avg_wait_minutes | hospitalized_count | hospitalization_pct | department        | dept_count | dept_pct |
+-----------+-------------+------------------+--------------------+---------------------+-------------------+------------+----------+
|         1 |         100 |            37.10 |                100 |              100.00 | Cardiology        |         16 |    16.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | General Surgery   |         12 |    12.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Orthopedics       |         12 |    12.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Internal Medicine |         10 |    10.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Neurology         |         10 |    10.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Oncology          |         10 |    10.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | ICU               |          8 |     8.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Pediatrics        |          8 |     8.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Pulmonology       |          8 |     8.00 |
|         1 |         100 |            37.10 |                100 |              100.00 | Radiology         |          6 |     6.00 |
|         2 |         205 |            33.37 |                205 |              100.00 | Internal Medicine |         88 |    42.93 |
|         2 |         205 |            33.37 |                205 |              100.00 | General Surgery   |         30 |    14.63 |
|         2 |         205 |            33.37 |                205 |              100.00 | Cardiology        |         25 |    12.20 |
|         2 |         205 |            33.37 |                205 |              100.00 | Orthopedics       |         12 |     5.85 |
|         2 |         205 |            33.37 |                205 |              100.00 | Neurology         |         10 |     4.88 |
|         2 |         205 |            33.37 |                205 |              100.00 | Oncology          |         10 |     4.88 |
|         2 |         205 |            33.37 |                205 |              100.00 | ICU               |          8 |     3.90 |
|         2 |         205 |            33.37 |                205 |              100.00 | Pediatrics        |          8 |     3.90 |
|         2 |         205 |            33.37 |                205 |              100.00 | Pulmonology       |          8 |     3.90 |
|         2 |         205 |            33.37 |                205 |              100.00 | Radiology         |          6 |     2.93 |
|         3 |         100 |            39.10 |                100 |              100.00 | Cardiology        |         15 |    15.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | General Surgery   |         13 |    13.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Orthopedics       |         12 |    12.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Internal Medicine |         10 |    10.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Neurology         |         10 |    10.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Oncology          |         10 |    10.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | ICU               |          8 |     8.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Pediatrics        |          8 |     8.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Pulmonology       |          8 |     8.00 |
|         3 |         100 |            39.10 |                100 |              100.00 | Radiology         |          6 |     6.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Cardiology        |         15 |    15.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | General Surgery   |         13 |    13.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Orthopedics       |         12 |    12.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Internal Medicine |         10 |    10.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Neurology         |         10 |    10.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Oncology          |         10 |    10.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | ICU               |          8 |     8.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Pediatrics        |          8 |     8.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Pulmonology       |          8 |     8.00 |
|         4 |         100 |            40.10 |                100 |              100.00 | Radiology         |          6 |     6.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Cardiology        |         15 |    15.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | General Surgery   |         13 |    13.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Orthopedics       |         12 |    12.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Internal Medicine |         10 |    10.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Neurology         |         10 |    10.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Oncology          |         10 |    10.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | ICU               |          8 |     8.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Pediatrics        |          8 |     8.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Pulmonology       |          8 |     8.00 |
|         5 |         100 |            41.10 |                100 |              100.00 | Radiology         |          6 |     6.00 |
+-----------+-------------+------------------+--------------------+---------------------+-------------------+------------+----------+
